Disease,symptoms
(vertigo) Paroymsal  Positional Vertigo,"headache,loss_of_balance,nausea,spinning_movements,unsteadiness,vomiting"
AIDS,"extra_marital_contacts,high_fever,muscle_wasting,patches_in_throat"
Acne,"blackheads,pus_filled_pimples,scurring,skin_rash"
Alcoholic hepatitis,"abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,swelling_of_stomach,vomiting,yellowish_skin"
Allergy,"chills,continuous_sneezing,shivering,watering_from_eyes"
Arthritis,"movement_stiffness,muscle_weakness,painful_walking,stiff_neck,swelling_joints"
Bronchial Asthma,"breathlessness,cough,family_history,fatigue,high_fever,mucoid_sputum"
Cervical spondylosis,"back_pain,dizziness,loss_of_balance,neck_pain,weakness_in_limbs"
Chicken pox,"fatigue,headache,high_fever,itching,lethargy,skin_rash"
Chronic cholestasis,"abdominal_pain,itching,loss_of_appetite,nausea,vomiting,yellowish_skin"
Common Cold,"chills,continuous_sneezing,cough,fatigue,headache,high_fever"
Dengue,"chills,fatigue,high_fever,joint_pain,skin_rash,vomiting"
Diabetes ,"blurred_and_distorted_vision,fatigue,irregular_sugar_level,lethargy,restlessness,weight_loss"
Dimorphic hemmorhoids(piles),"bloody_stool,constipation,irritation_in_anus,pain_during_bowel_movements,pain_in_anal_region"
Drug Reaction,"burning_micturition,itching,skin_rash,spotting_urination,stomach_pain"
Fungal infection,"dischromic_patches,itching,nodal_skin_eruptions,skin_rash"
GERD,"acidity,chest_pain,cough,stomach_pain,ulcers_on_tongue,vomiting"
Gastroenteritis,"dehydration,diarrhoea,sunken_eyes,vomiting"
Heart attack,"breathlessness,chest_pain,sweating,vomiting"
Hepatitis B,"dark_urine,fatigue,itching,lethargy,loss_of_appetite,yellowish_skin"
Hepatitis C,"family_history,fatigue,loss_of_appetite,nausea,yellowing_of_eyes,yellowish_skin"
Hepatitis D,"dark_urine,fatigue,joint_pain,nausea,vomiting,yellowish_skin"
Hepatitis E,"dark_urine,fatigue,high_fever,joint_pain,vomiting,yellowish_skin"
Hypertension ,"chest_pain,dizziness,headache,lack_of_concentration,loss_of_balance"
Hyperthyroidism,"diarrhoea,fatigue,mood_swings,restlessness,sweating,weight_loss"
Hypoglycemia,"anxiety,fatigue,headache,nausea,sweating,vomiting"
Hypothyroidism,"cold_hands_and_feets,dizziness,fatigue,lethargy,mood_swings,weight_gain"
Impetigo,"blister,high_fever,red_sore_around_nose,skin_rash,yellow_crust_ooze"
Jaundice,"fatigue,high_fever,itching,vomiting,weight_loss,yellowish_skin"
Malaria,"chills,headache,high_fever,nausea,sweating,vomiting"
Migraine,"acidity,blurred_and_distorted_vision,excessive_hunger,headache,indigestion,stiff_neck"
Osteoarthristis,"hip_joint_pain,joint_pain,knee_pain,neck_pain,painful_walking,swelling_joints"
Paralysis (brain hemorrhage),"altered_sensorium,headache,vomiting,weakness_of_one_body_side"
Peptic ulcer diseae,"abdominal_pain,indigestion,internal_itching,loss_of_appetite,passage_of_gases,vomiting"
Pneumonia,"breathlessness,chills,cough,fatigue,high_fever,sweating"
Psoriasis,"inflammatory_nails,joint_pain,silver_like_dusting,skin_peeling,skin_rash,small_dents_in_nails"
Tuberculosis,"chills,cough,fatigue,high_fever,vomiting,weight_loss"
Typhoid,"chills,fatigue,headache,high_fever,nausea,vomiting"
Urinary tract infection,"bladder_discomfort,burning_micturition,continuous_feel_of_urine,foul_smell_ofurine"
Varicose veins,"bruising,cramps,fatigue,obesity,swollen_blood_vessels,swollen_legs"
hepatitis A,"dark_urine,joint_pain,loss_of_appetite,nausea,vomiting,yellowish_skin"
